"IcelandicNameID","IcelandicName","Afgreitt","Birta","Tegund","Skyring","Urskurdur"
1,"Aaron","Haf",1,"DR","",NULL
2,"Adrian","Haf",1,"DR","","21.01.2010"
3,"Aðalbjörgvin","Haf",1,"DR","",NULL
4,"Anthon","Haf",1,"DR","",NULL
5,"Antonio","Haf",1,"DR","","20.07.2007"
6,"Antorn-Gabriel","Haf",1,"DR","",NULL
7,"Arnarsteinn","Haf",1,"DR","",NULL
8,"Ástvald","Sam",1,"RDR","Ástvaldur","08.11.2007"
9,"Bald","Haf",1,"DR","",NULL
10,"Baltazar","Haf",1,"DR","",NULL
11,"Ben","Haf",1,"DR","",NULL
12,"Benedikts","Haf",1,"DR","",NULL
13,"Dominic","Haf",1,"DR","","15.09.2005"
14,"Eilif","Haf",1,"DR","",NULL
15,"Enrique","Haf",1,"DR","",NULL
16,"Finngálkn","Haf",1,"DR","",NULL
17,"Fryolf","Haf",1,"DR","",NULL
18,"Gígja","Haf",1,"DR","",NULL
19,"Hávarr","Haf",0,"DR","","09.07.2007"
20,"Heiðaringi","Haf",1,"DR","",NULL
21,"Hnikarr","Sam",1,"DR","","04.03.2006"
22,"Ian","Haf",1,"DR","",NULL
23,"Ísarr","Haf",0,"DR","",NULL
24,"Járnsíða","Haf",1,"DR","",NULL
25,"Jóhan","Haf",1,"DR","",NULL
26,"Kai","Haf",1,"DR","",NULL
27,"Ká","Haf",1,"DR","",NULL
28,"Killian","Haf",1,"DR","",NULL
29,"Kosmo","Haf",1,"DR","",NULL
30,"Leo","Haf",1,"DR","",NULL
31,"Lorenzlee","Haf",1,"DR","",NULL
32,"Lusifer","Haf",1,"DR","",NULL
33,"Nathan","Haf",1,"DR","",NULL
34,"Niels","Haf",1,"DR","",NULL
35,"Ólaf","Haf",1,"DR","",NULL
36,"Ralph","Haf",1,"DR","",NULL
38,"Sven","Haf",1,"DR","","23.03.2005"
39,"Sævald","Sam",1,"DR","",NULL
40,"Sævarr","Sam",1,"RDR","Sævar. Fallbeygist: Sævarr-Sævar-Sævari-Sævars","25.05.2006"
41,"Tryggvason","Haf",1,"DR","",NULL
42,"Vincent","Sam",1,"DR","","13.02.2008"
43,"Vídó","Haf",1,"DR","",NULL
44,"Werner","Haf",1,"DR","","15.04.2010"
45,"Aage","Sam",1,"DR","",NULL
47,"Abraham","Sam",1,"DR","",NULL
48,"Adam","Sam",1,"DR","",NULL
49,"Addi","Sam",1,"DR","",NULL
50,"Adíel","Sam",1,"DR","",NULL
51,"Adólf","Sam",1,"DR","",NULL
52,"Adrían","Sam",1,"DR","","21.01.2010"
53,"Adríel","Sam",1,"DR","",NULL
54,"Aðalberg","Sam",1,"DR","",NULL
55,"Aðalbergur","Sam",1,"DR","",NULL
56,"Aðalbjörn","Sam",1,"DR","",NULL
57,"Aðalborgar","Sam",1,"DR","",NULL
58,"Aðalgeir","Sam",1,"DR","",NULL
59,"Aðalmundur","Sam",1,"DR","",NULL
60,"Aðalráður","Sam",1,"DR","",NULL
61,"Aðalsteinn","Sam",1,"DR","",NULL
62,"Agnar","Sam",1,"DR","",NULL
63,"Agni","Sam",1,"DR","",NULL
64,"Albert","Sam",1,"DR","",NULL
65,"Aldar","Sam",1,"DR","",NULL
66,"Alex","Sam",1,"DR","",NULL
67,"Alexander","Sam",1,"DR","",NULL
68,"Alexíus","Sam",1,"DR","",NULL
69,"Alfons","Sam",1,"DR","",NULL
70,"Alfred","Sam",1,"DR","",NULL
71,"Alfreð","Sam",1,"DR","",NULL
72,"Allan","Sam",1,"DR","",NULL
73,"Almar","Sam",1,"DR","",NULL
74,"Alrekur","Sam",1,"DR","",NULL
75,"Alvar","Sam",1,"DR","",NULL
76,"Alvin","Sam",1,"DR","",NULL
77,"Amos","Sam",1,"DR","",NULL
78,"Anders","Sam",1,"DR","",NULL
79,"Andreas","Sam",1,"DR","",NULL
80,"Andrés","Sam",1,"DR","",NULL
81,"Andri","Sam",1,"DR","",NULL
82,"Anes","Sam",1,"DR","",NULL
83,"Angantýr","Sam",1,"DR","",NULL
84,"Angi","Sam",1,"DR","",NULL
85,"Annar","Sam",1,"DR","",NULL
86,"Annel","Sam",1,"DR","",NULL
87,"Annes","Sam",1,"DR","",NULL
88,"Anthony","Sam",1,"DR","",NULL
89,"Anton","Sam",1,"DR","",NULL
90,"Antoníus","Sam",1,"DR","",NULL
91,"Arent","Sam",1,"DR","",NULL
92,"Ares","Sam",1,"DR","",NULL
93,"Ari","Sam",1,"DR","",NULL
94,"Arilíus","Sam",1,"DR","",NULL
95,"Arinbjörn","Sam",1,"DR","",NULL
96,"Aríel","Sam",1,"DR","",NULL
97,"Aríus","Sam",1,"DR","",NULL
98,"Arnald","Sam",1,"DR","",NULL
99,"Arnaldur","Sam",1,"DR","",NULL
100,"Arnar","Sam",1,"DR","",NULL
101,"Arnberg","Sam",1,"DR","",NULL
102,"Arnbergur","Sam",1,"DR","",NULL
103,"Arnbjörn","Sam",1,"DR","",NULL
104,"Arndór","Sam",1,"DR","",NULL
105,"Arnes","Sam",1,"DR","",NULL
106,"Arnfinnur","Sam",1,"DR","",NULL
107,"Arnfreyr","Sam",1,"DR","",NULL
108,"Arngeir","Sam",1,"DR","",NULL
109,"Arngils","Sam",1,"DR","",NULL
110,"Arngrímur","Sam",1,"DR","",NULL
111,"Arnkell","Sam",1,"DR","",NULL
112,"Arnlaugur","Sam",1,"DR","",NULL
113,"Arnleifur","Sam",1,"DR","",NULL
114,"Arnljótur","Sam",1,"DR","",NULL
115,"Arnmóður","Sam",1,"DR","",NULL
116,"Arnmundur","Sam",1,"DR","",NULL
117,"Arnoddur","Sam",1,"DR","",NULL
118,"Arnold","Sam",1,"DR","",NULL
119,"Arnór","Sam",1,"DR","",NULL
120,"Arnsteinn","Sam",1,"DR","",NULL
121,"Arnúlfur","Sam",1,"DR","",NULL
122,"Arnviður","Sam",1,"DR","",NULL
123,"Arnþór","Sam",1,"DR","",NULL
124,"Aron","Sam",1,"DR","",NULL
125,"Arthúr","Sam",1,"DR","",NULL
126,"Askur","Sam",1,"DR","",NULL
127,"Aspar","Sam",1,"DR","",NULL
128,"Atli","Sam",1,"DR","",NULL
129,"Auðbergur","Sam",1,"DR","",NULL
130,"Auðbert","Sam",1,"DR","",NULL
131,"Auðbjörn","Sam",1,"DR","",NULL
132,"Auðgeir","Sam",1,"DR","",NULL
133,"Auðkell","Sam",1,"DR","",NULL
134,"Auðmundur","Sam",1,"DR","",NULL
135,"Auðólfur","Sam",1,"DR","",NULL
136,"Auðun","Sam",1,"DR","",NULL
137,"Auðunn","Sam",1,"DR","",NULL
138,"Austar","Sam",1,"DR","",NULL
139,"Austmann","Sam",1,"DR","",NULL
140,"Austmar","Sam",1,"DR","",NULL
141,"Austri","Sam",1,"DR","",NULL
142,"Axel","Sam",1,"DR","",NULL
143,"Ágúst","Sam",1,"DR","",NULL
144,"Áki","Sam",1,"DR","",NULL
145,"Álfgeir","Sam",1,"DR","",NULL
146,"Álfgrímur","Sam",1,"DR","",NULL
147,"Álfur","Sam",1,"DR","",NULL
148,"Álfþór","Sam",1,"DR","",NULL
149,"Ámundi","Sam",1,"DR","",NULL
150,"Árbjartur","Sam",1,"DR","",NULL
151,"Árbjörn","Sam",1,"DR","",NULL
152,"Árelíus","Sam",1,"DR","",NULL
153,"Árgeir","Sam",1,"DR","",NULL
154,"Árgils","Sam",1,"DR","",NULL
155,"Ármann","Sam",1,"DR","",NULL
156,"Árni","Sam",1,"DR","",NULL
157,"Ársæll","Sam",1,"DR","",NULL
158,"Ás","Sam",1,"DR","",NULL
159,"Ásberg","Sam",1,"DR","",NULL
160,"Ásbergur","Sam",1,"DR","",NULL
161,"Ásbjörn","Sam",1,"DR","",NULL
162,"Ásgautur","Sam",1,"DR","",NULL
163,"Ásgeir","Sam",1,"DR","",NULL
164,"Ásgils","Sam",1,"DR","",NULL
165,"Ásgrímur","Sam",1,"DR","",NULL
166,"Ási","Sam",1,"DR","",NULL
167,"Áskell","Sam",1,"DR","",NULL
168,"Áslaugur","Sam",1,"DR","",NULL
169,"Áslákur","Sam",1,"DR","",NULL
170,"Ásmar","Sam",1,"DR","",NULL
171,"Ásmundur","Sam",1,"DR","",NULL
172,"Ásólfur","Sam",1,"DR","",NULL
173,"Ásröður","Sam",1,"DR","",NULL
174,"Ástbjörn","Sam",1,"DR","",NULL
175,"Ástgeir","Sam",1,"DR","",NULL
176,"Ástmar","Sam",1,"DR","",NULL
177,"Ástmundur","Sam",1,"DR","",NULL
178,"Ástráður","Sam",1,"DR","",NULL
179,"Ástvaldur","Sam",1,"DR","",NULL
180,"Ástvar","Sam",1,"DR","",NULL
181,"Ástvin","Sam",1,"DR","",NULL
182,"Ástþór","Sam",1,"DR","",NULL
183,"Ásvaldur","Sam",1,"DR","",NULL
184,"Ásvarður","Sam",1,"DR","",NULL
185,"Ásþór","Sam",1,"DR","",NULL
186,"Baldur","Sam",1,"DR","",NULL
187,"Baldvin","Sam",1,"DR","",NULL
188,"Baltasar","Sam",1,"DR","",NULL
189,"Barði","Sam",1,"DR","",NULL
190,"Barri","Sam",1,"DR","",NULL
191,"Baugur","Sam",1,"DR","",NULL
192,"Bárður","Sam",1,"DR","",NULL
193,"Beinir","Sam",1,"DR","",NULL
194,"Beinteinn","Sam",1,"DR","",NULL
195,"Beitir","Sam",1,"DR","",NULL
196,"Bekan","Sam",1,"DR","",NULL
197,"Benedikt","Sam",1,"DR","",NULL
198,"Benjamín","Sam",1,"DR","",NULL
199,"Benóní","Sam",1,"DR","",NULL
200,"Bent","Sam",1,"DR","",NULL
201,"Berent","Sam",1,"DR","",NULL
202,"Berg","Sam",1,"DR","",NULL
203,"Bergfinnur","Sam",1,"DR","",NULL
204,"Berghreinn","Sam",1,"DR","",NULL
205,"Bergmann","Sam",1,"DR","",NULL
206,"Bergmar","Sam",1,"DR","",NULL
207,"Bergmundur","Sam",1,"DR","",NULL
208,"Bergsteinn","Sam",1,"DR","",NULL
209,"Bergsveinn","Sam",1,"DR","",NULL
210,"Bergur","Sam",1,"DR","",NULL
211,"Bergvin","Sam",1,"DR","",NULL
212,"Bergþór","Sam",1,"DR","",NULL
213,"Bernhard","Sam",1,"DR","",NULL
214,"Bernharð","Sam",1,"DR","",NULL
215,"Bernharður","Sam",1,"DR","",NULL
216,"Bernódus","Sam",1,"DR","",NULL
217,"Bersi","Sam",1,"DR","",NULL
218,"Bertel","Sam",1,"DR","",NULL
219,"Bessi","Sam",1,"DR","",NULL
220,"Betúel","Sam",1,"DR","",NULL
221,"Birgir","Sam",1,"DR","",NULL
222,"Birkir","Sam",1,"DR","",NULL
223,"Birnir","Sam",1,"DR","",NULL
224,"Bjargar","Sam",1,"DR","",NULL
225,"Bjargmundur","Sam",1,"DR","",NULL
226,"Bjargþór","Sam",1,"DR","",NULL
227,"Bjarkar","Sam",1,"DR","",NULL
228,"Bjarki","Sam",1,"DR","",NULL
229,"Bjarmar","Sam",1,"DR","",NULL
230,"Bjarmi","Sam",1,"DR","",NULL
231,"Bjarnar","Sam",1,"DR","",NULL
232,"Bjarnfinnur","Sam",1,"DR","",NULL
233,"Bjarnfreður","Sam",1,"DR","",NULL
234,"Bjarnharður","Sam",1,"DR","",NULL
235,"Bjarnhéðinn","Sam",1,"DR","",NULL
236,"Bjarni","Sam",1,"DR","",NULL
237,"Bjarnlaugur","Sam",1,"DR","",NULL
238,"Bjarnleifur","Sam",1,"DR","",NULL
239,"Bjarnólfur","Sam",1,"DR","",NULL
240,"Bjarnsteinn","Sam",1,"DR","",NULL
241,"Bjarnþór","Sam",1,"DR","",NULL
242,"Bjartmann","Sam",1,"DR","",NULL
